prospect_no,loan_disb_date,asset_cost,disb_amt,down_payment,roi,age,is_exist_cust,dist_from_off,is_expat,children,earning_members,yrs_in_curr_resi,source_type,marital_status,gender,applicant_type,locality,accommodation_type,current_residence,veh_own,foir,tenure,vin_in_business,ltv,target,random
16,17-11-2015,1102008,804466,297542,19,36,0,42,1,1,1,5,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,31,108,75,73,0,0.882924433
17,02-05-2015,1265385,670654,594731,11,48,0,34,0,3,2,4,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,43,108,72,53,0,0.947023246
18,24-01-2015,1185242,900784,284458,11,57,0,4,1,1,1,11,direct,Single,Male,Co-App,Below Avg,Townhouses,Rented,1,35,240,20,76,0,0.791252328
19,23-08-2015,1293527,646764,646763,13,43,1,35,1,2,2,4,direct,Single,Female,Individual,Above Avg,Townhouses,Relatives,0,38,84,45,50,0,0.083874254
20,09-09-2015,1975671,1718834,256837,20,22,0,63,1,1,1,0,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,56,120,7,87,1,0.880768346
21,27-08-2015,552144,336808,215336,18,36,0,13,1,1,1,1,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,45,96,34,61,0,0.541029384
22,20-05-2015,1088327,816245,272082,11,49,0,23,1,3,1,3,direct,Married,Male,Individual,Below Avg,Apartment,Owned,2,41,240,30,75,0,0.963129537
23,11-09-2015,950293,674708,275585,17,42,0,34,1,1,1,2,channel,,Male,Co-App,Below Avg,Villa,Rented,1,56,96,63,71,0,0.015941118
24,11-05-2015,1001468,450661,550807,19,32,0,41,0,3,1,0,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,58,96,11,45,0,0.547960186
25,07-08-2015,1137864,546175,591689,15,46,0,32,0,0,1,2,direct,Single,Male,Co-App,Below Avg,Townhouses,Rented,1,31,180,56,48,0,0.276335086
26,30-08-2015,589761,342061,247700,18,39,0,15,1,3,1,1,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,45,180,71,58,0,0.976574317
27,21-02-2015,1117821,558911,558910,10,57,0,0,1,1,3,6,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,59,240,6,50,0,0.226852705
28,05-05-2015,1104439,684752,419687,17,45,1,15,0,4,2,4,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,58,180,23,62,0,0.911576018
29,22-10-2015,707985,368152,339833,12,42,0,5,1,1,1,2,channel,Single,Female,Individual,Above Avg,Townhouses,Relatives,1,31,132,69,52,0,0.053584848
30,24-06-2015,1247580,798451,449129,12,57,0,8,0,1,4,16,direct,Single,Female,Individual,Posh,Townhouses,Relatives,0,66,156,32,64,0,0.25992632
31,17-04-2015,1323773,966354,357419,19,40,0,54,0,3,1,6,direct,,Male,Individual,Middle Class,Apartment,Owned,2,59,144,76,73,0,0.021457384
32,17-05-2015,1030217,515109,515108,19,33,0,43,0,3,1,0,channel,Married,Male,Individual,Below Avg,Villa,Rented,2,31,96,11,50,0,0.798467457
33,04-09-2015,1012593,607556,405037,19,32,0,42,1,3,1,0,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,55,96,13,60,0,0.578390572
34,14-09-2015,1258425,1157751,100674,15,46,0,18,1,0,3,6,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,46,144,23,92,0,0.700845499
35,30-10-2015,1485344,802086,683258,18,45,1,41,1,2,1,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,45,72,68,54,0,0.450315081
36,29-05-2015,461320,249113,212207,16,44,0,3,1,2,1,1,direct,,Male,Individual,Middle Class,Apartment,Owned,2,49,96,58,54,0,0.002657524
37,22-05-2015,1277388,740885,536503,12,60,1,9,0,3,1,19,direct,Single,Female,Individual,Posh,Townhouses,Relatives,0,41,84,43,58,0,0.931059601
38,21-01-2015,1351740,1243601,108139,14,50,0,18,1,1,1,10,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,28,240,16,92,1,0.835597822
39,07-11-2015,944878,708659,236219,14,49,0,2,0,2,2,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,45,240,16,75,0,0.718059371
40,18-07-2015,1246834,847847,398987,15,50,0,17,1,3,3,6,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,49,216,23,68,0,0.855548831
41,24-07-2015,581862,349117,232745,18,40,0,15,0,3,1,1,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,41,180,71,60,0,0.192489688
42,02-02-2015,876390,482015,394375,19,40,0,30,0,3,1,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,43,132,73,55,0,0.090739304
43,18-06-2015,1259252,793329,465923,12,55,0,8,0,0,4,17,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,58,144,36,63,0,0.619670014
44,20-04-2015,1387927,777239,610688,15,46,0,45,1,0,2,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,45,156,56,56,0,0.869569749
45,28-08-2015,1238697,1015732,222965,15,50,0,17,0,3,3,6,channel,Married,Male,Individual,Below Avg,Apartment,Owned,2,35,240,23,82,0,0.595159735
46,03-04-2015,1483311,1097650,385661,20,44,0,35,1,3,3,7,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,44,228,29,74,1,0.429887967
47,19-04-2015,1389623,819878,569745,13,43,1,40,0,3,2,4,direct,Single,Female,Individual,Above Avg,Townhouses,Relatives,0,43,84,46,59,0,0.303654012
48,30-09-2015,1526566,1129659,396907,20,44,0,37,0,3,3,7,direct,Single,Female,Individual,Above Avg,Townhouses,Relatives,0,59,180,30,74,0,0.540432022
49,01-02-2015,1260374,794036,466338,12,55,0,8,0,0,4,17,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,41,144,36,63,0,0.144430247
50,15-02-2015,1971967,1281779,690188,20,40,0,2,1,3,1,10,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,31,180,25,65,0,0.731235609
51,02-07-2015,1382509,801855,580654,13,42,0,39,1,0,2,4,direct,,Male,Individual,Below Avg,Villa,Rented,2,43,84,46,58,0,0.035338605
52,21-04-2015,1112395,889916,222479,10,56,0,0,0,1,3,5,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,45,240,17,80,0,0.821650177
53,01-09-2015,1830824,1080186,750638,16,50,0,8,0,1,2,4,direct,Single,Male,Co-App,Below Avg,Villa,Rented,1,41,156,48,59,0,0.861556468
54,23-08-2015,1180658,684782,495876,19,37,0,47,1,2,1,5,direct,Married,Male,Individual,Below Avg,Apartment,Owned,2,56,240,75,58,0,0.890761037
55,04-02-2015,1231149,714066,517083,11,59,0,7,0,3,1,15,direct,Single,Female,Individual,Above Avg,Townhouses,Relatives,1,35,240,78,58,0,0.055316235
56,16-12-2015,1470995,1117956,353039,18,41,0,,0,1,1,3,direct,Single,Male,Co-App,Below Avg,Villa,Rented,1,45,96,39,76,0,0.769176355
57,17-02-2015,983314,914482,68832,14,46,1,4,0,0,2,3,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,58,108,18,93,0,0.588376174
58,11-05-2015,1322685,899426,423259,14,55,0,16,0,6,4,9,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,43,144,15,68,0,0.882135186
59,28-06-2015,1295048,777029,518019,11,49,0,36,1,4,2,4,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,33,96,34,60,0,0.36883538
60,10-01-2015,1025061,604786,420275,19,27,1,43,1,2,1,0,channel,Single,Male,Co-App,Below Avg,Townhouses,Rented,1,43,84,11,59,0,0.461278734
61,07-06-2015,966582,550952,415630,12,44,0,18,1,5,1,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,52,180,43,57,0,0.1733567
62,21-03-2015,1099280,857438,241842,12,50,0,5,1,0,3,5,direct,Married,Male,Individual,Middle Class,Apartment,Rented,2,65,120,10,78,0,0.79177046
63,06-07-2015,1224968,1139220,85748,13,50,0,11,0,0,4,7,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,41,144,14,93,0,0.677432499
64,01-12-2015,1405800,941886,463914,16,50,0,26,1,3,4,8,direct,Single,Male,Co-App,Below Avg,Villa,Rented,1,33,240,26,67,0,0.908218447
65,08-03-2015,1152223,864167,288056,17,45,0,46,0,2,1,2,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,47,84,66,75,0,0.09979932
66,15-08-2015,1237183,804169,433014,18,45,0,22,1,3,3,5,direct,Single,Male,Co-App,Below Avg,Villa,Rented,1,45,240,79,65,0,0.442256954
67,22-12-2015,1809256,832258,976998,20,20,0,61,1,1,1,0,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,48,132,9,46,0,0.299317877
68,09-10-2015,1945264,875369,1069895,20,37,0,1,0,2,1,10,direct,Single,Male,Co-App,Below Avg,Townhouses,Rented,1,64,132,81,45,0,0.872366964
69,06-09-2015,310363,270016,40347,18,23,0,0,1,1,1,0,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,46,132,80,87,0,0.766549741
70,28-08-2015,1114738,724580,390158,12,50,1,24,1,0,3,6,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,59,120,9,65,0,0.476191435
71,17-05-2015,1177074,859264,317810,11,57,0,4,1,1,4,11,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,31,120,17,73,0,0.31878067
72,14-02-2015,950791,732109,218682,16,43,0,7,1,2,2,3,channel,Married,Male,Individual,Middle Class,Apartment,Rented,2,53,108,20,77,0,0.291871124
73,21-12-2015,955003,697152,257851,19,38,1,35,1,2,1,4,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,26,96,74,73,0,0.742046534
74,24-07-2015,1470915,794294,676621,16,50,0,49,1,1,2,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,43,240,52,54,0,0.321432319
75,12-10-2015,1433335,960334,473001,18,43,1,64,1,1,1,3,direct,Single,Female,Individual,Posh,Townhouses,Relatives,0,56,72,68,67,0,0.991250775
76,03-10-2015,1465193,717945,747248,14,43,0,43,1,3,2,4,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,38,156,46,49,0,0.47114814
77,18-09-2015,1261054,668359,592695,13,55,0,13,1,6,4,8,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,45,156,10,53,0,0.603141489
78,07-07-2015,382131,171959,210172,18,39,0,4,1,3,1,0,direct,Married,Male,Individual,Below Avg,Apartment,Owned,2,41,144,70,45,0,0.654848364
79,21-05-2015,1449006,869404,579602,12,46,0,45,1,2,2,5,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,39,96,36,60,0,0.262191944
80,17-05-2015,438066,280362,157704,18,22,1,8,1,1,1,0,direct,Single,Male,Co-App,Above Avg,Townhouses,Relatives,1,31,144,24,64,0,0.428308904
81,24-02-2015,1102700,771890,330810,10,55,0,,1,0,3,5,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,54,120,0,70,0,0.157968627
82,22-09-2015,1101428,1024328,77100,10,60,0,0,1,3,3,5,direct,Married,Male,Individual,Middle Class,Apartment,Owned,0,57,120,0,93,0,0.940796073
83,11-03-2015,671158,328867,342291,16,41,0,16,1,1,1,1,direct,Single,Female,Individual,Above Avg,Townhouses,Relatives,0,31,144,47,49,0,0.354410314
84,02-12-2015,1115216,579912,535304,17,45,0,44,1,2,1,2,direct,Single,Male,Co-App,Above Avg,Townhouses,Rented,1,34,96,65,52,0,0.641573696
85,03-08-2015,1297024,920887,376137,15,49,0,20,0,2,3,6,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,42,240,24,71,0,0.071117158
86,25-10-2015,954609,687318,267291,16,43,0,,0,1,2,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,31,108,20,72,0,0.463391879
87,19-11-2015,1045082,992828,52254,13,43,1,22,1,3,1,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,35,84,42,95,0,0.541932338
88,27-04-2015,1231123,947965,283158,13,53,1,12,0,4,4,8,direct,Married,Male,Individual,Below Avg,Apartment,Owned,2,56,84,14,77,0,0.906647355
89,12-02-2015,1182837,745187,437650,17,42,0,48,0,1,1,2,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,57,156,67,63,0,0.725682433
90,21-12-2015,1222902,1063925,158977,11,49,0,31,0,4,2,4,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,46,108,72,87,0,0.070758309
91,17-06-2015,1016440,792823,223617,14,49,0,6,0,2,2,4,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,31,120,18,78,0,0.560057963
92,27-05-2015,933886,401571,532315,14,47,0,1,0,1,2,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,43,180,6,43,0,0.503552805
93,23-01-2015,784051,556676,227375,10,48,0,5,0,3,1,2,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,66,240,27,71,0,0.86986834
94,20-05-2015,977480,469190,508290,10,47,0,16,0,2,1,3,direct,Single,Male,Co-App,Above Avg,Townhouses,Rented,1,54,120,75,48,0,0.331497684
95,03-06-2015,1081759,854590,227169,11,48,0,23,1,3,1,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,45,120,31,79,0,0.486881359
96,12-09-2015,790717,498152,292565,18,22,1,29,0,1,1,0,channel,Single,Female,Individual,Above Avg,Townhouses,Relatives,1,45,84,85,63,0,0.679570946
97,04-07-2015,1710109,837953,872156,16,49,1,61,1,1,2,4,direct,,Male,Co-App,Above Avg,Townhouses,Rented,1,43,156,50,49,0,0.021939115
98,09-05-2015,1593196,1003713,589483,18,44,0,26,0,2,1,3,channel,Single,Male,Co-App,Below Avg,Villa,Rented,1,42,144,37,63,1,0.493544892
99,24-01-2015,1204942,650669,554273,11,57,0,5,0,1,4,13,channel,Married,Male,Individual,Below Avg,Villa,Rented,2,31,96,16,54,0,0.338622422
100,13-01-2015,851749,630294,221455,16,44,0,2,1,3,2,3,direct,Single,Male,Co-App,Above Avg,Townhouses,Rented,1,65,216,17,74,0,0.347157949
101,21-02-2015,929195,780524,148671,14,50,0,1,0,3,2,3,direct,,Female,Individual,Above Avg,Townhouses,Relatives,1,54,132,17,84,0,0.022210854
102,27-04-2015,857401,437275,420126,16,44,0,2,0,2,2,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,44,144,17,51,0,0.728534461
103,02-11-2015,1675166,1038603,636563,12,49,0,59,0,3,2,6,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,38,96,38,62,0,0.383673855
104,07-02-2015,1003164,722278,280886,17,45,0,10,1,4,2,4,direct,Single,Male,Co-App,Above Avg,Townhouses,Relatives,1,58,120,20,72,0,0.817773989
105,05-05-2015,1132788,475771,657017,18,44,1,17,1,2,2,5,direct,Married,Male,Individual,Below Avg,Apartment,Owned,2,52,60,82,42,0,0.059566369
106,14-12-2015,1395694,683890,711804,13,44,0,40,0,4,2,4,direct,Single,Female,Individual,Above Avg,Townhouses,Relatives,1,45,84,46,49,0,0.257733169
107,08-11-2015,751879,503759,248120,12,44,0,7,1,4,1,2,direct,Single,Female,Individual,Above Avg,Townhouses,Relatives,1,56,96,68,67,0,0.634879949
108,18-11-2015,1601082,1040703,560379,20,23,0,2,0,1,1,0,direct,Single,Female,Individual,Above Avg,Townhouses,Relatives,0,44,120,11,65,0,0.201158075
109,20-04-2015,1321757,925230,396527,19,45,0,26,1,4,3,6,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,59,228,26,70,0,0.455269509
110,12-03-2015,1208717,749405,459312,11,56,0,5,0,1,4,13,direct,Married,Male,Individual,Middle Class,Apartment,Rented,2,46,120,14,62,0,0.466788101
111,17-04-2015,1497962,898777,599185,18,43,0,25,0,1,1,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,54,96,39,60,0,0.758436005
112,29-09-2015,1052971,758139,294832,19,27,1,44,1,2,1,0,direct,Single,Female,Individual,Above Avg,Townhouses,Relatives,1,33,60,7,72,0,0.912329444
113,04-11-2015,1006172,925678,80494,19,39,0,37,0,3,1,4,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,32,144,74,92,0,0.754052403
114,09-12-2015,1177001,894521,282480,17,42,0,48,1,1,1,2,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,57,84,66,76,0,0.663961408
115,19-05-2015,1288041,695542,592499,12,60,0,10,0,3,1,20,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,32,240,48,54,0,0.802026507
116,13-05-2015,1081830,854646,227184,14,50,0,9,0,3,2,4,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,39,240,21,79,0,0.055024607
117,25-09-2015,1073766,783849,289917,12,54,0,3,0,4,3,5,channel,Single,Male,Co-App,Below Avg,Villa,Rented,1,43,96,19,73,0,0.063361481
118,16-07-2015,837666,477470,360196,17,45,0,27,0,2,1,2,direct,Single,Male,Co-App,Below Avg,Townhouses,Rented,1,41,96,63,57,0,0.350370144
119,23-03-2015,1132859,1019573,113286,10,56,0,1,1,0,3,7,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,43,240,6,90,0,0.847952239
120,11-12-2015,1339134,843654,495480,16,46,0,22,1,0,4,7,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,53,144,26,63,0,0.692486994
121,29-01-2015,1122940,539011,583929,15,46,1,,0,0,1,2,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,41,180,54,48,0,0.794326587
122,29-08-2015,1144649,824147,320502,10,57,0,2,0,1,3,8,direct,Single,Male,Co-App,Above Avg,Townhouses,Relatives,1,65,120,11,72,0,0.103788336
123,18-09-2015,1721526,1153422,568104,20,37,0,5,0,1,1,9,direct,Married,Male,Individual,Middle Class,Apartment,Rented,2,43,120,79,67,0,0.360877019
124,26-04-2015,1367170,1285140,82030,15,46,1,43,1,0,2,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,37,156,55,94,0,0.146329043
125,01-08-2015,1267739,798676,469063,12,55,0,9,0,0,4,18,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,36,144,38,63,0,0.223903309
126,20-01-2015,1293322,866526,426796,15,50,0,20,0,3,3,6,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,45,216,24,67,0,0.248789672
127,14-04-2015,1398295,838977,559318,12,50,0,42,1,4,2,5,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,41,96,36,60,0,0.183617753
128,11-09-2015,1298815,1194910,103905,12,59,0,10,1,3,1,20,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,43,84,63,92,0,0.205371891
129,04-03-2015,1135204,851403,283801,10,58,0,1,1,2,3,7,direct,Single,Male,Co-App,Above Avg,Townhouses,Rented,1,64,240,6,75,0,0.687950683
130,23-06-2015,1403374,701687,701687,15,50,0,45,1,1,2,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,46,156,56,50,0,0.859184798
131,22-11-2015,1250244,800156,450088,12,57,1,8,1,1,4,17,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,41,156,34,64,0,0.571980666
132,23-10-2015,1272489,954367,318122,11,50,0,34,0,4,2,4,direct,Single,Male,Co-App,Above Avg,Townhouses,Relatives,1,43,144,73,75,0,0.966841341
133,12-02-2015,1262897,757738,505159,12,60,0,8,0,3,1,18,channel,Single,Male,Co-App,Below Avg,Villa,Rented,1,46,96,39,60,0,0.498900236
134,05-02-2015,1250179,787613,462566,12,59,0,8,0,2,4,17,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,43,144,34,63,0,0.27617373
135,12-04-2015,956537,688707,267830,16,45,0,8,0,4,2,3,direct,Single,Male,Co-App,Below Avg,Townhouses,Rented,1,43,108,20,72,0,0.225705409
136,23-12-2015,1203649,806445,397204,17,45,0,50,0,2,1,2,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,31,84,67,67,0,0.127809559
137,08-05-2015,1395933,865478,530455,12,50,0,42,1,4,2,5,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,43,132,35,62,0,0.439082358
138,18-04-2015,535217,342539,192678,18,22,1,13,1,1,1,0,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,58,84,82,64,0,0.258296115
139,02-09-2015,1376320,1183635,192685,12,46,0,41,1,2,2,5,direct,Widowed,Female,Individual,Posh,Townhouses,Relatives,0,49,120,35,86,0,0.260041202
140,23-07-2015,1175329,1081303,94026,15,49,1,14,1,2,3,5,channel,Married,Male,Individual,Below Avg,Villa,Rented,2,31,144,22,92,0,0.529420791
141,20-03-2015,817697,556034,261663,16,44,0,0,0,3,2,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,52,240,18,68,0,0.270355131
142,16-09-2015,1195715,765258,430457,11,56,0,5,1,1,4,12,direct,Married,Male,Individual,Middle Class,Apartment,Rented,2,47,156,15,64,0,0.902884809
143,28-01-2015,1163309,825949,337360,18,45,0,18,1,3,2,5,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,43,180,23,71,0,0.786853224
144,28-07-2015,1313863,1090506,223357,16,49,0,21,1,3,1,7,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,31,240,24,83,1,0.332316697
145,19-07-2015,1681382,1227409,453973,16,47,0,,0,0,2,4,direct,Married,Male,Individual,Below Avg,Apartment,Owned,2,39,72,60,73,1,0.505035372
146,06-12-2015,1142265,913812,228453,18,45,0,17,1,4,2,5,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,43,144,23,80,0,0.77281142
147,13-08-2015,1092243,644423,447820,17,45,1,43,1,2,1,2,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,43,84,43,59,0,0.063500351
148,07-11-2015,1126080,551779,574301,12,52,0,8,0,3,3,6,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,31,156,10,49,0,0.791486602
149,16-02-2015,838130,502878,335252,12,44,0,12,0,5,1,2,channel,Single,Male,Co-App,Below Avg,Townhouses,Rented,1,27,96,40,60,0,0.430027219
150,16-11-2015,1106008,851626,254382,10,60,0,0,1,3,3,5,channel,Married,Male,Individual,Middle Class,Apartment,Owned,0,31,120,0,77,0,0.260675376
151,23-12-2015,1568238,1003672,564566,18,42,1,50,0,1,1,3,direct,Single,Female,Individual,Above Avg,Townhouses,Relatives,0,44,72,70,64,0,0.510246966
152,30-01-2015,1142845,834277,308568,10,59,1,2,0,2,3,8,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,53,84,11,73,0,0.103859252
153,11-02-2015,734339,330453,403886,18,40,0,23,0,3,1,2,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,55,180,73,45,0,0.772839341
154,23-08-2015,1126131,889643,236488,10,56,0,1,0,1,3,7,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,32,120,3,79,0,0.530372962
155,10-03-2015,1766206,971413,794793,20,24,0,57,0,1,1,0,direct,Single,Male,Co-App,Below Avg,Townhouses,Rented,1,45,132,13,55,0,0.708603572
156,01-01-2015,1003810,702667,301143,12,51,0,0,0,1,3,4,direct,Married,Male,Individual,Below Avg,Apartment,Owned,2,35,120,5,70,0,0.716196027
157,19-04-2015,937028,402922,534106,14,46,0,1,1,0,2,3,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,47,180,6,43,0,0.316943852
158,14-05-2015,1285304,771182,514122,19,45,0,24,1,4,3,6,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,51,240,79,60,0,0.893319205
159,10-04-2015,1351073,1283519,67554,11,49,0,39,1,4,2,5,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,41,168,72,95,0,0.155662339
160,31-10-2015,1210628,786908,423720,11,46,0,31,0,2,2,4,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,53,96,34,65,0,0.117656122
161,08-12-2015,1607335,659007,948328,18,42,1,47,0,1,1,3,direct,Single,Female,Individual,Above Avg,Townhouses,Relatives,0,57,72,70,41,0,0.572622132
162,04-10-2015,1047789,586762,461027,19,34,0,44,0,3,1,0,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,29,96,19,56,0,0.566119366
163,12-09-2015,1128750,823988,304762,10,60,0,1,0,3,3,7,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,41,240,2,73,0,0.501779111
164,23-07-2015,780869,741826,39043,12,45,0,9,1,7,1,2,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,43,144,40,95,0,0.967386875
165,18-08-2015,681054,435875,245179,12,43,0,4,1,2,1,2,direct,Single,Male,Co-App,Above Avg,Townhouses,Relatives,1,45,144,40,64,0,0.064995541
166,21-05-2015,1641996,886678,755318,14,45,0,52,1,7,2,5,direct,Single,Male,Co-App,Above Avg,Townhouses,Rented,1,58,144,50,54,0,0.729848324
167,26-06-2015,1406546,1040844,365702,19,36,0,59,1,1,1,7,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,41,180,77,74,0,0.30298345
168,08-09-2015,1669047,934666,734381,18,45,1,0,0,2,1,3,direct,Single,Male,Co-App,Below Avg,Townhouses,Rented,1,47,72,70,56,0,0.256325207
169,02-09-2015,655565,511341,144224,14,47,0,7,0,0,1,1,direct,Married,Male,Individual,Below Avg,Apartment,Owned,2,35,96,60,78,0,0.186981309
